Date Inspected,Date Completed,Cable Company ,Type Area Inspected,Street Name,Street Type,City,Intersection,Violation,Alert,Resident Generated,In-Field Violations,Site Survey,Re-Inspection,Re-Inspection Date,Violation Type
10/04/2010,10/25/2010,Comcast,UG,Carlynn,Dr,Bethesda,,1,0,0,0,0,0,,Equipment
10/04/2010,10/25/2010,Comcast,UG,Persimmon Tree,Rd,Bethesda,Carlynn Dr,1,0,0,0,0,0,,Equipment
10/04/2010,10/25/2010,Comcast,UG,Snow Hill,Ln,Potomac,,1,0,0,1,0,0,,Other
10/04/2010,10/29/2010,Comcast,UG,Orion Club,Dr,Ashton,,1,0,1,0,0,1,03/23/2011,Restoration
10/04/2010,11/01/2010,Comcast,Aerial/UG,New Hampshire,Av,Olney,Orion Club Dr,1,0,0,0,0,0,,Other
09/01/2010,09/18/2010,Comcast,UG,Appledowre,Cir,Germantown,,0,1,1,0,0,0,,Drop
09/07/2010,09/18/2010,Comcast,UG,Breezedale,Ln,Germantown,,0,1,1,0,0,1,12/15/2010,Equipment
09/03/2010,09/23/2010,Comcast,Aerial,Lilly Stone,Dr,Potomac,@ Seven Locks Rd,1,0,0,1,0,1,01/04/2011,Lines
09/03/2010,09/23/2010,Comcast,UG,Vendome,Dr,Bethesda,,1,0,0,1,0,1,05/17/2011,Equipment
09/03/2010,09/20/2010,Comcast,UG,Devilwood,Dr,Potomac,,0,0,0,0,0,1,12/08/2010,Other
09/07/2010,09/24/2010,Comcast,UG,Mozart,Dr,Silver Spring,,1,0,0,0,0,1,12/20/2010,Equipment
09/08/2010,09/22/2010,Comcast,UG,Brewer House,Rd,Rockville,,0,1,1,0,0,1,12/08/2010,Drop
09/07/2010,,Comcast,UG,Foreman,Dr,Germantown,,1,0,0,1,0,0,,Equipment
09/07/2010,09/22/2010,Comcast,UG,Foreman,Dr,Germantown,,1,0,0,1,0,1,12/10/2010,Equipment
09/07/2010,09/18/2010,Comcast,UG,White Church,Ct,Germantown,,1,0,0,0,0,1,12/06/2010,Drop
09/07/2010,09/18/2010,Comcast,UG,White Church,Ct,Germantown,,1,0,0,1,0,1,07/22/2011,Equipment
09/07/2010,09/18/2010,Comcast,UG,Bargene,Ct,Germantown,,1,0,0,0,0,1,12/06/2010,Drop
09/07/2010,09/18/2010,Comcast,UG,Bargene,Ct,Germantown,,1,0,0,1,0,1,12/06/2010,Drop
09/08/2010,09/18/2010,Comcast,UG,Halethorpe,Ter,Germantown,,1,0,1,0,0,0,,Drop
09/08/2010,09/18/2010,Comcast,UG,Winding Creek,Pl,Germantown,,1,0,1,0,0,1,12/13/2010,Drop
09/08/2010,09/24/2010,Comcast,Aerial,Beall,St,Poolesville,,1,0,0,0,0,1,12/06/2010,Drop
09/08/2010,09/24/2010,Comcast,Aerial,Beall,St,Poolesville,,1,0,0,0,0,1,12/06/2010,Broken Lashing
09/08/2010,09/20/2010,Comcast,UG,Halesworth,Dr,Rockville,,1,0,0,0,0,1,12/09/2010,Drop
09/09/2010,09/13/2010,Verizon,UG,Sterling,Ter,Rockville,,1,0,1,0,0,0,,Equipment
09/09/2010,09/20/2010,Comcast,UG,Tildenwood,Dr,Rockville,,1,0,0,1,0,1,07/18/2011,Drop
09/09/2010,09/20/2010,Comcast,UG,Tildenwood,Dr,Rockville,,1,0,0,1,0,1,07/18/2011,Drop
09/09/2010,09/20/2010,Comcast,UG,Tildenwood,Dr,Rockville,,1,0,0,1,0,1,07/18/2011,Drop
09/09/2010,09/20/2010,Comcast,UG,Tildenwood,Dr,Rockville,,1,0,0,1,0,1,07/18/2011,Equipment
09/09/2010,09/20/2010,Comcast,UG,Tildenwood,Dr,Rockville,,1,0,0,1,0,1,07/18/2011,Drop
09/09/2010,09/20/2010,Comcast,UG,Platinum,Dr,Potomac,,1,0,0,1,0,1,08/10/2011,Equipment
09/09/2010,09/20/2010,Comcast,UG,Platinum,Dr,Potomac,,1,0,0,1,0,1,08/10/2011,Equipment
09/09/2010,09/20/2010,Comcast,UG,Platinum,Dr,Potomac,,1,0,0,1,0,0,,Equipment
09/09/2010,09/20/2010,Comcast,UG,Pineymeeting House,Rd,Potomac,,1,0,0,1,0,1,04/13/2011,Equipment
09/09/2010,09/17/2010,Verizon,UG,Pineymeeting House,Rd,Potomac,,1,0,0,1,0,1,04/13/2011,Drop
09/09/2010,09/22/2010,Comcast,Aerial,Piney Glen,Ln,Potomac,,1,0,0,1,0,1,04/13/2011,Broken Lashing
09/10/2010,09/23/2010,Comcast,UG,Holly Leaf,Ln,Bethesda,,0,1,0,0,0,0,,Construction
09/10/2010,09/20/2010,Comcast,UG,Falls Chapel,Way,Rockville,,1,0,0,1,0,1,12/09/2010,Drop
09/10/2010,09/20/2010,Comcast,UG,Falls Chapel,Way,Rockville,,1,0,0,0,0,1,12/09/2010,Drop
09/10/2010,09/20/2010,Comcast,UG,Falls Chapel,Way,Rockville,,1,0,0,0,0,1,12/09/2010,Equipment
09/10/2010,09/21/2010,Comcast,UG,Crabb Branch,Rd,Rockville,,1,0,0,0,0,1,12/09/2010,Equipment
09/10/2010,09/22/2010,Comcast,UG,Polara,Dr,Rockville,,1,0,0,1,0,1,12/09/2010,Construction
09/10/2010,09/24/2010,Comcast,UG,Rippling Brook,Dr,Rockville,,1,0,0,1,0,1,12/09/2010,Equipment
09/13/2010,09/20/2010,Comcast,,Pier Point,Dr,Montgomery Village,,0,1,1,0,0,1,08/29/2011,Construction
09/13/2010,09/17/2010,Verizon,UG,Heritage Hills,Dr,Brookeville,,1,0,1,0,0,1,12/15/2010,Drop
09/13/2010,09/14/2010,Comcast,UG,Marblehedge,Way,Silver Spring,,0,1,0,0,0,1,12/13/2010,Lines
09/13/2010,09/21/2010,Comcast,UG,Marblehedge,Way,Silver Spring,,1,0,0,1,0,1,12/13/2010,Equipment
09/13/2010,09/21/2010,Comcast,UG,Hidden Valley,Ln,Silver Spring,,1,0,0,0,0,1,12/13/2010,Drop
09/13/2010,09/18/2010,Comcast,UG,Nickelby,Ct,Damascus,,1,0,0,0,0,1,12/09/2010,Drop
09/13/2010,09/22/2010,Comcast,Aerial,Stringtown,Rd,Damascus,,1,0,0,1,0,1,12/10/2010,Lines
09/13/2010,09/22/2010,Comcast,Aerial,Stringtown,Rd,Damascus,,1,0,0,1,0,1,12/10/2010,Broken Lashing
09/13/2010,09/18/2010,Comcast,UG,Bloom,Dr,Damascus,,1,0,0,1,0,1,12/09/2010,Equipment
09/13/2010,09/18/2010,Comcast,UG,Nickelby,Ct,Damascus,,1,0,0,1,0,1,12/09/2010,Equipment
09/13/2010,09/18/2010,Comcast,UG,Nickelby,Ct,Damascus,,1,0,0,1,0,1,12/09/2010,Equipment
09/13/2010,09/18/2010,Comcast,UG,Nickelby,Ct,Damascus,,1,0,0,0,0,1,10/18/2010,Equipment
09/13/2010,09/18/2010,Comcast,UG,Bloom,Dr,Damascus,,1,0,0,1,0,1,12/09/2010,Equipment
09/13/2010,07/20/2011,Comcast,UG,Log House,Rd,Damascus,,1,0,0,1,0,1,08/24/2011,Equipment
09/13/2010,07/20/2011,Comcast,UG,Log House,Rd,Damascus,,1,0,0,1,0,1,08/24/2011,Equipment
09/13/2010,07/20/2011,Comcast,UG,Log House,Rd,Damascus,,1,0,0,1,0,1,07/05/2011,Equipment
09/13/2010,07/20/2011,Comcast,UG,Log House,Rd,Damascus,,1,0,0,1,0,1,09/20/2011,Drop
09/13/2010,07/20/2011,Comcast,UG,Log House,Rd,Damascus,,1,0,0,1,0,1,07/05/2011,Equipment
09/13/2010,09/18/2010,Comcast,UG,Great Park,Cir,Germantown,,1,0,0,1,0,1,12/06/2010,Lines
09/13/2010,11/06/2010,Verizon,UG,Great Park,Cir,Germantown,,1,0,0,1,0,0,,Drop
09/13/2010,09/18/2010,Comcast,UG,Archstone,Way,Germantown,,1,0,0,1,0,1,12/06/2010,Drop
09/14/2010,09/18/2010,Verizon,UG,Briardale,Ter,Derwood,,1,0,0,1,0,1,07/19/2011,Drop
09/14/2010,09/21/2010,Comcast,UG,Briardale,Rd,Derwood,,1,0,0,1,0,1,07/19/2011,Drop
09/14/2010,09/18/2010,Verizon,UG,Briardale,Rd,Derwood,,1,0,0,1,0,1,07/19/2011,Drop
09/14/2010,09/22/2010,Comcast,Aerial,Waring Station,Rd,Germantown,@ Winding Creek Wy,1,0,0,1,0,1,12/07/2010,Broken Lashing
09/14/2010,09/24/2010,Comcast,UG,Ambience,Dr,Germantown,,1,0,0,1,0,1,12/15/2010,Equipment
09/14/2010,09/21/2010,Comcast,UG,Wickham,Rd,Olney,,1,0,0,0,0,1,12/09/2010,Equipment
09/14/2010,09/21/2010,Comcast,UG,Wickham,Rd,Olney,,1,0,0,0,0,1,12/09/2010,Equipment
09/14/2010,09/24/2010,Comcast,UG,Leatherwood,Ter,Burtonsville,,1,0,0,0,0,1,12/13/2010,Equipment
09/14/2010,09/24/2010,Comcast,UG,Water Drop,Ct,Burtonsville,,1,0,0,0,0,1,12/13/2010,Drop
09/15/2010,11/07/2009,Verizon,UG,Steeple,Rd,Germantown,@ Highstream Dr,1,0,1,0,0,1,12/07/2010,Equipment
09/15/2010,07/16/2011,Comcast,UG,Heritage Hill,Dr,Brookeville,,1,0,0,1,0,1,11/18/2011,Equipment
09/15/2010,07/16/2011,Comcast,UG,Heritage Hills,Dr,Brookeville,,1,0,0,1,0,1,11/18/2011,Equipment
09/15/2010,07/16/2011,Comcast,UG,Parson Grove,Ct,Olney,,1,0,0,1,0,0,,Equipment
09/15/2010,11/04/2010,Verizon,UG,Longview,Ln,Olney,,1,0,0,1,0,1,08/11/2011,Drop
09/15/2010,07/16/2011,Comcast,Aerial/UG,Cashell,Rd,Olney,,1,0,0,1,0,1,05/31/2011,Drop
09/15/2010,07/16/2011,Comcast,Aerial/UG,Cashell,Rd,Olney,,1,0,0,1,0,1,09/21/2011,Drop
09/15/2010,11/04/2010,Verizon,Aerial/UG,Cashell,Rd,Olney,,1,0,0,1,0,1,05/31/2011,Drop
09/15/2010,06/20/2012,Verizon,Aerial,Olney Laytonsville,Rd,Olney,,1,0,0,1,0,0,,Other
09/15/2010,07/17/2011,Comcast,UG,Shagbark,Dr,Rockville,,1,0,0,0,0,0,,Drop
09/15/2010,07/17/2011,Comcast,UG,Waterway,Dr,Rockville,,1,0,0,0,0,0,,Equipment
09/16/2010,07/29/2011,Comcast,UG,Pier Point,Pl,Gaithersburg,,1,0,0,1,0,1,07/11/2011,Lines
09/16/2010,10/28/2010,Verizon,UG,Pier Point,Pl,Gaithersburg,,1,0,0,1,0,1,07/11/2011,Lines
09/16/2010,07/15/2011,Comcast,UG,Pier Point,Pl,Gaithersburg,,1,0,0,1,0,1,07/11/2011,Drop
09/16/2010,07/15/2011,Comcast,UG,Lake Shore,Dr,Gaithersburg,,1,0,0,1,0,0,,Drop
09/16/2010,07/15/2011,Comcast,UG,Nathans,Pl,Gaithersburg,,1,0,0,1,0,0,,Equipment
09/16/2010,07/15/2011,Comcast,UG,Nathans,Pl,Gaithersburg,,1,0,0,1,0,0,,Drop
09/16/2010,07/15/2011,Comcast,UG,Docena,Ct,Gaithersburg,,1,0,0,1,0,0,,Drop
09/16/2010,07/15/2011,Comcast,Aerial,Watkins Mill,Rd,Gaithersburg,@ Cove Ledge Ct,1,0,0,1,0,0,,Lines
09/16/2010,07/15/2011,Comcast,Aerial,Ridge,Rd,,between Morning Star and Brink Rd,1,0,0,1,0,0,,Lines
09/16/2010,07/16/2011,Comcast,UG,Baritone,Ct,Silver Spring,,1,0,0,1,0,0,,Drop
09/16/2010,07/16/2011,Comcast,UG,Baritone,Ct,Silver Spring,,1,0,0,1,0,0,,Drop
09/16/2010,07/17/2011,Comcast,Aerial,Bauer,Dr,Rockville,,1,0,0,1,0,1,09/26/2011,Drop
09/16/2010,07/17/2011,Comcast,UG,Gerard,Ct,Rockville,,1,0,0,0,0,0,,Drop
09/16/2010,07/17/2011,Comcast,UG,Ingelside,Ct,Rockville,,1,0,0,0,0,0,,Drop
09/16/2010,11/06/2010,Verizon,UG,Ingelside,Ct,Rockville,,1,0,0,0,0,0,,Drop
09/17/2010,10/29/2010,Verizon,Aerial/UG,Stringtown,Rd,Clarksburg,,1,0,0,1,0,1,12/10/2010,Lines
09/17/2010,11/10/2010,Verizon,UG,Coltrane,Dr,Damascus,,1,0,0,1,0,1,03/24/2011,Equipment
09/17/2010,07/15/2011,Comcast,Aerial,Ridge,Rd,Germantown,@ Brink Rd,1,0,0,1,0,0,,Lines
09/17/2010,07/15/2011,Comcast,UG,Willow Tree,Ter,Potomac,,1,0,0,1,0,0,,Equipment
09/17/2010,07/15/2011,Comcast,UG,Silent Wood,Way,Potomac,,1,0,0,1,0,1,07/01/2011,Equipment
09/17/2010,07/15/2011,Comcast,UG,Silent Wood,Way,Potomac,,1,0,0,1,0,1,07/01/2011,Equipment
09/17/2010,07/15/2011,Comcast,UG,Antigone,Dr,Potomac,,1,0,0,1,0,1,05/17/2011,Lines
09/17/2010,07/15/2011,Comcast,Aerial,River Wood,Dr,Potomac,,1,0,0,1,0,0,,Lines
09/17/2010,07/17/2011,Comcast,UG,Split Oak,,Bethesda,,1,0,0,0,0,0,,Equipment
09/21/2010,11/05/2010,Verizon,UG,Sioux,Ln,Gaithersburg,,0,1,1,0,0,1,12/15/2010,Construction
09/20/2010,07/29/2011,Comcast,Aerial,Riffle Ford,Rd,Germantown,,1,0,0,1,0,0,,Broken Lashing
09/20/2010,10/31/2010,Verizon,Aerial,Riffle Ford,Rd,Germantown,@ Great Seneca Creek,1,0,0,1,0,1,12/06/2010,Lines
09/20/2010,10/28/2010,Verizon,Aerial,Germantown,Rd,Germantown,north of Crowngate Wy,1,0,0,1,0,1,12/06/2010,Other
09/20/2010,07/17/2011,Comcast,Aerial/UG,Germantown,Rd,Germantown,north of Crowngate Wy,1,0,0,1,0,0,,Lines
09/20/2010,11/02/2010,Verizon,Aerial,Nolan,Dr,North Potomac,,1,0,0,1,0,1,07/07/2011,Lines
09/20/2010,07/15/2011,Comcast,Aerial/UG,Nolan,Dr,North Potomac,,1,0,0,1,0,1,06/27/2012,Drop
09/20/2010,11/02/2010,Verizon,Aerial/UG,Nolan,Dr,North Potomac,,1,0,0,1,0,1,06/27/2012,Drop
09/20/2010,07/15/2011,Comcast,Aerial/UG,Nolan,Dr,North Potomac,,1,0,0,1,0,1,05/11/2011,Drop
09/20/2010,11/02/2010,Verizon,Aerial/UG,Nolan,Dr,North Potomac,,1,0,0,1,0,1,05/11/2011,Drop
09/20/2010,07/15/2011,Comcast,UG,Nolan,Dr,North Potomac,,1,0,0,1,0,1,05/11/2011,Equipment
09/20/2010,07/15/2011,Comcast,Aerial/UG,Nolan,Dr,North Potomac,,1,0,0,1,0,1,04/06/2011,Equipment
09/20/2010,11/02/2010,Verizon,Aerial/UG,Nolan,Dr,North Potomac,,1,0,0,1,0,1,04/06/2011,Lines
09/20/2010,07/15/2011,Comcast,Aerial/UG,Nolan,Dr,North Potomac,,1,0,0,1,0,1,04/06/2011,Drop
09/20/2010,11/02/2010,Verizon,Aerial/UG,Nolan,Dr,North Potomac,,1,0,0,1,0,1,04/06/2011,Drop
09/20/2010,11/02/2010,Verizon,Aerial/UG,Nolan,Dr,North Potomac,,1,0,0,1,0,1,04/06/2011,Drop
09/20/2010,07/30/2011,Comcast,UG,Hoskinson,Rd,Poolesville,,1,0,0,1,0,1,04/04/2011,Equipment
09/20/2010,07/30/2011,Comcast,UG,Hoskinson,Rd,Poolesville,,1,0,0,1,0,1,04/04/2011,Equipment
09/20/2010,10/30/2010,Verizon,Aerial/UG,Whites Ferry,Rd,Poolesville,,1,0,0,1,0,1,05/10/2011,Drop
09/20/2010,02/01/2012,Verizon,Aerial,Cherrydale,,North Potomac,,1,0,0,1,0,0,,Lines
09/20/2010,07/15/2011,Comcast,Aerial,Cherrydale,,North Potomac,,1,0,0,1,0,0,,Drop
09/20/2010,07/14/2011,Comcast,Aerial,Robey,Rd,Burtonsville,,1,0,0,0,0,0,,Lines
09/20/2010,07/14/2011,Comcast,Aerial,Robey,Rd,Burtonsville,,1,0,0,0,0,0,,Lines
09/20/2010,07/16/2011,Comcast,Aerial,Sanford,Rd,Silver Spring,,1,0,0,1,0,0,,Drop
09/20/2010,10/29/2010,Verizon,Aerial,Sanford,Rd,Silver Spring,,1,0,0,1,0,1,12/13/2010,Drop
09/20/2010,12/30/2010,RCN,Aerial,Sanford,Rd,Silver Spring,,1,0,0,1,0,1,06/02/2011,Broken Lashing
09/20/2010,07/16/2011,Comcast,Aerial,Sanford,Rd,Silver Spring,,1,0,0,1,0,1,06/02/2011,Broken Lashing
09/20/2010,07/14/2011,Comcast,UG,University,Blvd,Silver Spring,,1,0,0,0,0,0,,Equipment
09/20/2010,07/16/2011,Comcast,UG,Lantern Hill,Ct,Silver Spring,,1,0,0,1,0,0,,Drop
09/20/2010,07/16/2011,Comcast,UG,Middleridge,Rd,Silver Spring,,1,0,0,1,0,0,,Equipment
09/21/2010,07/22/2011,Comcast,UG,Tilford,Way,Germantown,,1,0,0,1,0,0,,Equipment
09/21/2010,10/28/2010,Verizon,UG,Cross Ridge,Way,Germantown,,1,0,0,1,0,1,12/15/2010,Restoration
09/21/2010,06/29/2011,Comcast,UG,Cross Ridge,Way,Germantown,,1,0,0,1,0,0,,Equipment
09/21/2010,11/05/2010,Verizon,UG,Quail Woods,Dr,Germantown,,1,0,0,1,0,1,12/07/2010,Restoration
09/21/2010,06/29/2011,Comcast,UG,Quail Woods,Dr,Germantown,,1,0,0,1,0,1,04/05/2011,Equipment
09/21/2010,10/28/2010,Verizon,UG,Sweetgum,Cir,Germantown,,1,0,0,1,0,1,12/07/2010,Other
09/21/2010,10/28/2010,Verizon,UG,Sweetgum,Cir,Germantown,,1,0,0,1,0,1,12/07/2010,Other
09/21/2010,06/29/2011,Comcast,UG,Thorn Grove,Pl,Germantown,,1,0,0,1,0,0,,Drop
09/21/2010,11/02/2010,Verizon,UG,Drumcastle,Ter,Germantown,,0,1,0,0,0,1,12/06/2010,Equipment
09/21/2010,11/10/2010,Verizon,UG,Drumcastle,Ter,Germantown,,1,0,0,1,0,1,07/19/2011,Drop
09/21/2010,07/14/2011,Comcast,UG,Schubert,Dr,Silver Spring,,1,0,0,0,0,0,,Equipment
09/21/2010,07/14/2011,Comcast,UG,Piano,Dr,Silver Spring,,1,0,0,0,0,0,,Drop
09/21/2010,07/14/2011,Comcast,UG,Piano,Dr,Silver Spring,,1,0,0,0,0,0,,Drop
09/21/2010,07/14/2011,Comcast,UG,Piano,Dr,Silver Spring,,1,0,0,0,0,0,,Drop
09/21/2010,07/14/2011,Comcast,UG,Brahms,,Silver Spring,@ Schubert Dr,1,0,0,0,0,0,,Equipment
09/21/2010,07/14/2011,Comcast,Aerial,Colesville,Rd,Silver Spring,@ Southwood Ave,1,0,0,0,0,0,,Broken Lashing
09/21/2010,07/14/2011,Comcast,Aerial,Colesville,Rd,Silver Spring,Southwood Ave,1,0,0,0,0,0,,Other
09/21/2010,07/14/2011,Comcast,Aerial,Southwood,Av,Silver Spring,,1,0,0,0,0,0,,Broken Lashing
09/22/2010,07/14/2011,Comcast,UG,Mill Run,Dr,Derwood,,1,0,1,0,0,0,,Drop
09/22/2010,07/15/2011,Comcast,Aerial/UG,Hunting,Ln,North Potomac,,1,0,0,1,0,1,06/14/2012,Drop
09/22/2010,11/02/2010,Verizon,Aerial/UG,Hunting,Ln,North Potomac,,1,0,0,1,0,1,06/14/2012,Drop
09/22/2010,11/02/2010,Verizon,Aerial/UG,Travilah,Rd,North Potomac,,1,0,0,1,0,1,05/27/2011,Drop
09/22/2010,07/15/2011,Comcast,Aerial/UG,Travilah,Rd,North Potomac,,1,0,0,1,0,1,05/27/2011,Drop
09/22/2010,02/01/2012,Verizon,Aerial,Travilah,Rd,North Potomac,,1,0,0,1,0,1,05/27/2011,Broken Lashing
09/22/2010,07/14/2011,Comcast,Aerial,Norbeck,Rd,Rockville,,1,0,0,0,0,0,,Broken Lashing
09/22/2010,07/14/2011,Comcast,UG,Big Horn,Dr,Burtonsville,,1,0,0,0,0,0,,Equipment
09/22/2010,07/14/2011,Comcast,UG,Big Horn,Dr,Burtonsville,,1,0,0,0,0,0,,Equipment
09/22/2010,07/14/2011,Comcast,Aerial,Marvin,Rd,Silver Spring,,1,0,0,0,0,0,,Construction
09/22/2010,07/14/2011,Comcast,Aerial,Eastwood,Av,Silver Spring,,1,0,1,0,0,0,,Drop
09/22/2010,10/29/2010,Verizon,Aerial,Eastwood,Av,Silver Spring,,1,0,1,0,0,1,12/13/2010,Drop
09/22/2010,10/29/2010,Verizon,Aerial,Marvin,Rd,Silver Spring,,1,0,0,0,0,1,12/15/2010,Drop
09/22/2010,07/13/2011,Comcast,Aerial,Dennis,Av,Silver Spring,Royalton Rd,1,0,0,0,0,0,,Construction
09/22/2010,07/14/2011,Comcast,Aerial,Dennis,Av,Silver Spring,,1,0,0,0,0,0,,Construction
09/23/2010,07/16/2011,Comcast,UG,Hamlet,Pl,Chevy Chase,,1,0,1,0,0,0,,Drop
09/23/2010,07/14/2011,Comcast,UG,Baederwood,Ln,Rockville,,1,0,0,1,0,0,,Equipment
09/23/2010,07/14/2011,Comcast,Aerial,Miller Fall,Rd,Rockville,,1,0,0,1,0,0,,Drop
09/23/2010,07/29/2011,Comcast,Aerial/UG,Sunset,Rd,Germantown,,1,0,0,1,0,1,09/28/2011,Drop
09/23/2010,12/15/2010,Verizon,UG,Observation,Dr,Germantown,Seneca Meadows Pkwy,1,0,0,1,0,0,,Equipment
09/23/2010,10/04/2010,Comcast,UG,Angelton,Ct,Burtonsville,,0,1,1,0,0,1,12/10/2010,Drop
09/27/2010,10/05/2010,Comcast,UG,Blazing Star,Way,Gaithersburg,,0,1,1,0,0,1,12/20/2010,Drop
09/24/2010,07/22/2011,Comcast,UG,Solitaire,Ct,Gaithersburg,,1,0,1,0,0,0,,Restoration
09/27/2010,10/29/2010,Comcast,Aerial/UG,Sunset,Dr,Rockville,Cleveland Drive,0,1,1,0,0,0,,Drop
09/27/2010,09/27/2011,Comcast,UG,Jones,Ln,Gaithersburg,,1,0,1,0,0,0,,Construction
09/28/2010,10/28/2010,Verizon,UG,Hurley,Av,Rockville,,1,0,1,0,0,0,,Drop
09/27/2010,09/28/2011,Comcast,UG,Blazing Star,Way,Gaithersburg,,1,0,0,0,0,0,,Drop
09/27/2010,10/24/2010,Comcast,UG,Blazing Star,Way,Gaithersburg,,1,0,0,0,0,0,,Drop
09/27/2010,10/24/2010,Comcast,UG,Blazing Star,Way,Gaithersburg,,1,0,0,0,0,0,,Drop
09/27/2010,10/24/2010,Comcast,UG,Earth Star,Pl,Gaithersburg,,1,0,0,0,0,1,06/13/2012,Lines
09/27/2010,10/24/2010,Comcast,UG,Earth Star,Ct,Gaithersburg,,1,0,0,0,0,1,06/13/2012,Drop
09/27/2010,10/24/2010,Comcast,UG,Earth Star,Pl,Gaithersburg,,1,0,0,0,0,1,06/13/2012,Drop
09/27/2010,10/24/2010,Comcast,UG,Earth Star,Ct,Gaithersburg,,1,0,0,0,0,1,06/13/2012,Drop
09/27/2010,10/24/2010,Comcast,UG,Suffield,Dr,Gaithersburg,,1,0,0,0,0,0,,Drop
09/27/2010,10/24/2010,Comcast,Aerial/UG,Suffield,Dr,Gaithersburg,,1,0,0,0,0,0,,Drop
09/27/2010,09/30/2010,Verizon,UG,Suffield,Dr,Gaithersburg,,0,1,0,0,0,1,12/15/2010,Equipment
09/27/2010,10/24/2010,Comcast,UG,Suffield,Dr,Gaithersburg,,1,0,0,1,0,0,,Drop
09/27/2010,10/28/2010,Verizon,UG,Suffield,Dr,Gaithersburg,,1,0,0,1,0,1,12/15/2010,Equipment
09/27/2010,10/28/2010,Verizon,UG,Narrowleaf,Ct,Gaithersburg,,1,0,0,1,0,1,12/15/2010,Equipment
09/27/2010,10/28/2010,Verizon,UG,Wisteria,Dr,Germantown,White Sands Dr,1,0,0,0,0,1,12/07/2010,Equipment
09/27/2010,10/24/2010,Comcast,UG,Summerfield,Dr,Germantown,,1,0,0,1,0,0,,Restoration
09/27/2010,10/24/2010,Comcast,UG,Summer Oak,Ct,Germantown,,1,0,0,1,0,1,03/22/2011,Drop
09/27/2010,10/28/2010,Verizon,UG,Summer Oak,Dr,Germantown,,1,0,0,1,0,1,12/13/2010,Restoration
09/27/2010,10/24/2010,Comcast,UG,Summer Oak,Dr,Germantown,,1,0,0,1,0,1,03/22/2011,Lines
09/27/2010,10/24/2010,Comcast,UG,Summer Oak,Dr,Germantown,,1,0,0,1,0,1,03/22/2011,Drop
09/27/2010,09/11/2011,Comcast,Aerial,Arcola,Av,Wheaton,,1,0,0,0,0,0,,Other
09/27/2010,11/12/2010,Verizon,UG,English Orchard,Ct,Wheaton,,1,0,0,0,0,1,12/10/2010,Drop
09/27/2010,10/29/2010,Comcast,UG,English Orchard,Ct,Wheaton,,1,0,0,0,0,0,,Equipment
09/27/2010,10/29/2010,Comcast,UG,Park Vista,,Silver Spring,,1,0,0,0,0,0,,Equipment
09/27/2010,12/30/2010,RCN,Aerial,Bradford,,Silver Spring,,1,0,0,0,0,0,,Drop
09/27/2010,10/26/2010,Comcast,UG,Seven Locks,Rd,Potomac,,1,0,0,0,0,0,,Drop
09/27/2010,10/29/2010,Verizon,UG,Pepperell,Dr,Potomac,,1,0,0,0,0,1,01/04/2011,Equipment
09/28/2010,03/04/2011,Comcast,UG,Goose Creek,Rd,Olney,,0,1,1,0,0,1,03/04/2011,Drop
09/28/2010,10/19/2010,Verizon,UG,Longdraft,Rd,Gaithersburg,,1,0,1,0,0,1,12/15/2010,Lines
09/28/2010,10/31/2010,Comcast,UG,Montgomery Village,Av,Montgomery Village,Mid County Hwy,1,0,0,1,0,0,,Equipment
